"DT_NOTIFIC_epiyearweek","UF","epiyear","epiweek","SRAG","Tipo","Situation","mean","50%","2.5%","97.5%","L0","L1","L2","L3","Run date"
"2009W04","52",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","53",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","BR",2009,4,0,"País","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","RegC",2009,4,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","RegL",2009,4,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","RegN",2009,4,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","RegS",2009,4,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","11",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","12",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","13",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","14",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","15",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","16",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","17",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","21",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","22",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","23",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","24",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","25",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","26",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","27",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","28",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","29",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","31",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","32",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","33",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","35",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","41",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","42",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","43",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","50",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","51",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","52",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","53",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","BR",2009,5,0,"País","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","RegC",2009,5,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","RegL",2009,5,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","RegN",2009,5,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W05","RegS",2009,5,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","11",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","12",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","13",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","14",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","15",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","16",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","17",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","21",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","22",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
