UF,População,isoweek,corredor baixo,corredor mediano,corredor alto
Paraná,11163018,35,0.20415415159412312,0.370945086416426,0.6740017582892532
Paraná,11163018,36,0.2829117821944127,0.437532333953942,0.6766580796682156
Paraná,11163018,37,0.20318352758261796,0.3492578589569975,0.6003491202977878
Paraná,11163018,38,0.22338379627586855,0.31820990633096685,0.45328956788841734
Paraná,11163018,39,0.1570252902096966,0.23678434216134664,0.3570560170142545
Paraná,11163018,40,0.15313523569818402,0.23367095864462661,0.3565614188331857
Paraná,11163018,41,0.1791848760088959,0.253746514181886,0.3593344198104167
Paraná,11163018,42,0.10848503989866659,0.19920346613701914,0.36578334633114956
Paraná,11163018,43,0.121877021808538,0.1822908284964464,0.27265144537354413
Paraná,11163018,44,0.10849175184038756,0.15361817621709856,0.2175146374167281
Paraná,11163018,45,0.0955471755777215,0.14050073610388283,0.206604294960821
Paraná,11163018,46,0.07264224117019198,0.12702370583207173,0.222116245085422
Paraná,11163018,47,0.07007951922627441,0.13788646208996533,0.2713014677840307
Paraná,11163018,48,0.07954218777483374,0.1307722328106403,0.21499756736249825
Paraná,11163018,49,0.1160297610124682,0.16318404889128393,0.2295017552409805
Paraná,11163018,50,0.07507111028212353,0.12678389109086388,0.21411905298498998
Paraná,11163018,51,0.05781479997461849,0.0892272475104545,0.1377069833638985
Paraná,11163018,52,0.04567279626555754,0.08171046446361052,0.14618329834763963
Santa Catarina,6819190,1,0.021906897650119675,0.05903663555790471,0.15909712062665432
Santa Catarina,6819190,2,0.019840453848519346,0.05417477033437711,0.1479253329178018
Santa Catarina,6819190,3,0.016097752887814485,0.057322354697178335,0.20411869724478224
Santa Catarina,6819190,4,0.012100702568092354,0.03642083437078885,0.10961984800470564
Santa Catarina,6819190,5,0.021854984921208798,0.05706124412093744,0.1489813693474344
Santa Catarina,6819190,6,0.026868328244584693,0.07940522000872624,0.23466993953764229
Santa Catarina,6819190,7,0.0722975898144305,0.09596519126242678,0.1273807046358271
Santa Catarina,6819190,8,0.05978974727566533,0.09670629024047254,0.1564165596645842
Santa Catarina,6819190,9,0.0645965683209883,0.13057665022931467,0.26394995939078264
Santa Catarina,6819190,10,0.062468136365081604,0.11873849896265169,0.2256963622782989
Santa Catarina,6819190,11,0.06502923075069372,0.12113846913310625,0.22566049966316096
Santa Catarina,6819190,12,0.04818277909934847,0.1216017222089908,0.3068934403659692
Santa Catarina,6819190,13,0.08116504635651524,0.1975800994978572,0.4809693023042243
Santa Catarina,6819190,14,0.054726943454573955,0.16505008277137603,0.4977718122600777
Santa Catarina,6819190,15,0.10480627690001626,0.18452061737957773,0.32486468602087354
Santa Catarina,6819190,16,0.21505072606984016,0.33428938976577116,0.5196420312186241
Santa Catarina,6819190,17,0.055403700557999716,0.16123572833173716,0.4692278643635124
Santa Catarina,6819190,18,0.13961108248820236,0.27582866479233126,0.5449528143838396
Santa Catarina,6819190,19,0.07768756045408799,0.22632630712574106,0.6593539171235467
Santa Catarina,6819190,20,0.13418197424606854,0.3762328284283218,1.0549192019458036
Santa Catarina,6819190,21,0.06808003302979046,0.20744677798172942,0.6321114103480246
Santa Catarina,6819190,22,0.08645311122738591,0.2743987364257544,0.8709306754040727
Santa Catarina,6819190,23,0.11994875044647654,0.2769681081927496,0.6395342400011139
Santa Catarina,6819190,24,0.20710811594246153,0.3480113308792657,0.5847761487724841
Santa Catarina,6819190,25,0.13575048563714007,0.302527729027854,0.6742003640074702
Santa Catarina,6819190,26,0.1766308469126241,0.3048870403910251,0.5262733493226253
Santa Catarina,6819190,27,0.09906007714215659,0.2444603516183578,0.6032789922787063
Santa Catarina,6819190,28,0.2405906659798523,0.3585141708900609,0.5342368965375881
Santa Catarina,6819190,29,0.20183014619801362,0.30963212321098843,0.4750135375222172
Santa Catarina,6819190,30,0.14260149359183527,0.26548080050771483,0.49424486141744367
Santa Catarina,6819190,31,0.10906016030973811,0.22849532172483747,0.4787276297949388
Santa Catarina,6819190,32,0.0915697552226448,0.22913138142025088,0.5733464048680691
Santa Catarina,6819190,33,0.101251793988377,0.22731992408099488,0.510354887046457
Santa Catarina,6819190,34,0.12750235980436067,0.23671264708326684,0.4394654136217083
Santa Catarina,6819190,35,0.054833075016561345,0.12453398833047144,0.2828350269396686
Santa Catarina,6819190,36,0.06735179719005727,0.15290607061260286,0.3471364893829109
Santa Catarina,6819190,37,0.09935995429850214,0.16913285510747553,0.28790193070003806
Santa Catarina,6819190,38,0.14698165405971306,0.1663607026118469,0.18829481509483972
Santa Catarina,6819190,39,0.06668619231579381,0.12104517798256761,0.21971467561750913
Santa Catarina,6819190,40,0.02744436928246034,0.09670629024047254,0.34076595005050575
Santa Catarina,6819190,41,0.04509431279118872,0.10391767171061225,0.2394732689188391
Santa Catarina,6819190,42,0.02721062842279872,0.07679820451112314,0.21675222359769616
Santa Catarina,6819190,43,0.0427356845980716,0.09725113596740827,0.2213088086900122
Santa Catarina,6819190,44,0.04469586328478307,0.07734098177422431,0.1338295542853375
Santa Catarina,6819190,45,0.07576900399040605,0.14084414876755844,0.2618098852740617
