UF,População,isoweek,corredor baixo,corredor mediano,corredor alto,Unidade da Federação
Aw,27065627,3,0.015970066219634746,0.024108173995189715,0.03639334022721632,Região 3
Aw,27065627,4,0.030261754927077906,0.03981571796994799,0.05238597038679792,Região 3
Aw,27065627,5,0.02264151859336033,0.035431778857743686,0.055447294661242555,Região 3
Aw,27065627,6,0.024520603329467452,0.040878403308073664,0.06814856203025654,Região 3
Aw,27065627,7,0.02293646437957391,0.03505475923038869,0.05357565683902278,Região 3
Aw,27065627,8,0.0168669617709039,0.03703513741323819,0.08131881851914166,Região 3
Aw,27065627,9,0.032133274189812225,0.045339893862638384,0.06397437009786791,Região 3
Aw,27065627,10,0.01589217458809849,0.03348161559450095,0.07053903017510581,Região 3
Aw,27065627,11,0.026044825443087963,0.06786891500829251,0.17685622944442767,Região 3
Aw,27065627,12,0.03387844194836022,0.0882769263374125,0.23002284861444583,Região 3
Aw,27065627,13,0.024204786269346554,0.07323191939088315,0.22156419635336808,Região 3
Aw,27065627,14,0.04517083927866266,0.09057347289234433,0.18161172390824593,Região 3
Aw,27065627,15,0.05297504748334437,0.09817858860062034,0.181954254267359,Região 3
Aw,27065627,16,0.058913103965507294,0.10613491799013311,0.19120738950314928,Região 3
Aw,27065627,17,0.015260369384928675,0.05909159388376906,0.22881598601229491,Região 3
Aw,27065627,18,0.04492461184955442,0.08424172103257799,0.15796836678959708,Região 3
Aw,27065627,19,0.05443728063925095,0.09930627177455087,0.1811577561912662,Região 3
Aw,27065627,20,0.0698055315019549,0.11937500357094699,0.20414415836321692,Região 3
Aw,27065627,21,0.07531727705394622,0.11061426006690328,0.16245295911832802,Região 3
Aw,27065627,22,0.06608033702598537,0.11805675653016005,0.21091596062745208,Região 3
Aw,27065627,23,0.05053704652448585,0.09588448283785111,0.18192266231125384,Região 3
Aw,27065627,24,0.07250389619536153,0.12448694898448366,0.2137402440512827,Região 3
Aw,27065627,25,0.060104404179186,0.10756247069827274,0.19249313358509812,Região 3
Aw,27065627,26,0.053119819551445326,0.10136920747029646,0.19344411012549115,Região 3
Aw,27065627,27,0.03734347342245688,0.0901043088922708,0.21740844482001073,Região 3
Aw,27065627,28,0.04595548693426968,0.11215168353183824,0.2736996375866056,Região 3
Aw,27065627,29,0.043727481512954296,0.10474768766028913,0.25091950623607273,Região 3
Aw,27065627,30,0.035915629476173265,0.07962463080538242,0.17652709762749713,Região 3
Aw,27065627,31,0.026700404691642362,0.06780580101124016,0.17219314478087386,Região 3
Aw,27065627,32,0.02673597420789704,0.06594691271159613,0.1626645530988846,Região 3
Aw,27065627,33,0.030547720262609317,0.06694747301411298,0.14672008596534614,Região 3
Aw,27065627,34,0.048482392706144475,0.0761580065629531,0.1196319249092616,Região 3
Aw,27065627,35,0.033254074727483804,0.058994801236368376,0.10466045443875016,Região 3
Aw,27065627,36,0.030792943151827512,0.06089914684517739,0.12044013033065251,Região 3
Aw,27065627,37,0.04188337156430664,0.07127218852079682,0.12128261567349526,Região 3
Aw,27065627,38,0.027730704911368607,0.05188506186648631,0.09707865896281138,Região 3
Aw,27065627,39,0.03830845869512844,0.06109635162632717,0.09743968588646178,Região 3
Aw,27065627,40,0.016353773253783458,0.039329867490912246,0.09458602934309693,Região 3
Aw,27065627,41,0.02947446341568862,0.05049541575059757,0.08650834370977899,Região 3
Aw,27065627,42,0.008922120028755268,0.027714963593594866,0.08609155722168085,Região 3
Aw,27065627,43,0.024184859004193242,0.04101354320607274,0.06955222381179671,Região 3
Aw,27065627,44,0.008987500672186972,0.023692266278342002,0.06245601551285025,Região 3
Aw,27065627,45,0.011472721319800188,0.020258952804844774,0.035774003160051984,Região 3
Aw,27065627,46,0.009698870177535693,0.01687994146068977,0.029377898507835228,Região 3
Aw,27065627,47,0.013679798398311094,0.02764006909803181,0.05584683322806081,Região 3
Aw,27065627,48,0.013055453858109306,0.022519140478690414,0.0388428999413149,Região 3
Aw,27065627,49,0.010877061885064003,0.020350213044254446,0.038073808471680584,Região 3
Aw,27065627,50,0.01681166696403053,0.027456517142788663,0.044841498182492695,Região 3
Aw,27065627,51,0.007865372141976912,0.018659663906659747,0.04426784274469012,Região 3
Aw,27065627,52,0.018098948564862317,0.02529173194460451,0.03534303125208059,Região 3
BR,204450649,1,0.015530863961916235,0.04218194499427233,0.11456648437993781,Brasil
BR,204450649,2,0.028617750403602975,0.05031577367413863,0.0884652722426569,Brasil
BR,204450649,3,0.03574742259347024,0.051382757031559735,0.07385672948198978,Brasil
BR,204450649,4,0.031042763147845792,0.05113378207000509,0.08422780073829278,Brasil
BR,204450649,5,0.03863508902528969,0.05417169192639547,0.07595613935941477,Brasil
BR,204450649,6,0.0345317826115236,0.051668102111423635,0.07730828164386827,Brasil
BR,204450649,7,0.044016804230942105,0.059771550124777854,0.08116532462407632,Brasil
BR,204450649,8,0.03769966629022476,0.06550594323016493,0.11382139474232486,Brasil
BR,204450649,9,0.053623481671739213,0.0888517055386612,0.1472232934343315,Brasil
BR,204450649,10,0.04608916137601845,0.08766596495849706,0.16674899656784237,Brasil
BR,204450649,11,0.06310744203387465,0.1137131337288385,0.20489939642129396,Brasil
BR,204450649,12,0.0740148678940878,0.1229025644244166,0.20408116331049267,Brasil
BR,204450649,13,0.08052558427777676,0.12539687475994854,0.195271805111283,Brasil
BR,204450649,14,0.08282134242594996,0.13158151800252257,0.20904872310332617,Brasil
BR,204450649,15,0.09785959609287785,0.1609962052704296,0.2648670048349476,Brasil
BR,204450649,16,0.11514866231230934,0.16782077211495325,0.24458652829915128,Brasil
BR,204450649,17,0.10738210380450647,0.17492447467744124,0.28495038518601506,Brasil
BR,204450649,18,0.10039189005882972,0.18280286448521235,0.3328644101073961,Brasil
BR,204450649,19,0.1371743978415347,0.2260705538103425,0.3725760499357565,Brasil
BR,204450649,20,0.1494669784052857,0.23787418919307893,0.3785727823495205,Brasil
BR,204450649,21,0.17098112254314787,0.2800149301993393,0.45857905228546003,Brasil
BR,204450649,22,0.15914090331448327,0.266294335017395,0.4455967723283805,Brasil
BR,204450649,23,0.1428514175948418,0.2629138502156551,0.4838852410360392,Brasil
BR,204450649,24,0.1680986827461895,0.3020455781357297,0.5427260331902586,Brasil
BR,204450649,25,0.15744622558650584,0.2976041115080002,0.5625298850864107,Brasil
BR,204450649,26,0.15200456879328744,0.2939885854323172,0.5685966484470014,Brasil
BR,204450649,27,0.12957567322163152,0.28158650878923497,0.6119278407798617,Brasil
BR,204450649,28,0.12503737735998297,0.2643341114687595,0.5588130842253304,Brasil
BR,204450649,29,0.12548084064992504,0.2644531440976595,0.5573397903688593,Brasil
BR,204450649,30,0.10707407344193408,0.22684213319978017,0.4805771531848181,Brasil
BR,204450649,31,0.10882413423888276,0.21024558315443592,0.40618935813371304,Brasil
BR,204450649,32,0.09013432740282692,0.1821724126035652,0.3681925507191699,Brasil
BR,204450649,33,0.0895901594558777,0.1719702011407732,0.3301004291097705,Brasil
BR,204450649,34,0.1029644062651607,0.175038155147403,0.29756259341217806,Brasil
BR,204450649,35,0.08541392312685467,0.15181700053514033,0.26984361340312024,Brasil
BR,204450649,36,0.06908567709372891,0.1309362265087894,0.24815991003607366,Brasil
BR,204450649,37,0.07357304583842728,0.12903571619719367,0.2263086414974312,Brasil
BR,204450649,38,0.061053107533222635,0.11068141206880837,0.20065112936109267,Brasil
BR,204450649,39,0.06673976282587994,0.10597995963502191,0.16829175544935399,Brasil
BR,204450649,40,0.0515634259523732,0.09242226924249178,0.16565764772537392,Brasil
BR,204450649,41,0.04164857113454428,0.07994853329351183,0.1534690819316558,Brasil
BR,204450649,42,0.04810269118664406,0.08261387518668332,0.14188504229168572,Brasil
BR,204450649,43,0.04574541508632432,0.08001900947497517,0.1399712269584448,Brasil
BR,204450649,44,0.038103071229822906,0.06908988215674439,0.12527630089557515,Brasil
BR,204450649,45,0.03258849834997193,0.06021072160785543,0.11124572103954558,Brasil
BR,204450649,46,0.026911078001446216,0.05306543026366244,0.10463868778932943,Brasil
BR,204450649,47,0.03218191551213679,0.059806366252692575,0.11114321156558513,Brasil
BR,204450649,48,0.03561968872308936,0.057846271567577455,0.09394217788604242,Brasil
BR,204450649,49,0.030600883082690346,0.05081533440351101,0.08438312723077239,Brasil
BR,204450649,50,0.032064359908231664,0.053360777556601936,0.08880179082303048,Brasil
BR,204450649,51,0.02818817753798843,0.04574953967637894,0.07425170988013911,Brasil
BR,204450649,52,0.02019675556921413,0.033646191529314765,0.056051884202279426,Brasil
Cf,94495765,1,0.019029525992196015,0.05401621183102827,0.15332757850989484,Região 4
Cf,94495765,2,0.04223393974355227,0.07059444903056329,0.11799932149805242,Região 4
Cf,94495765,3,0.03951479128246245,0.06686196271418962,0.11313540861287052,Região 4
Cf,94495765,4,0.036206558372127016,0.06432449537157829,0.11427876304292671,Região 4
Cf,94495765,5,0.03433430056044648,0.062427853425237455,0.11350855615717988,Região 4
Cf,94495765,6,0.03711708154043246,0.0654498131315628,0.11540988302892793,Região 4
Cf,94495765,7,0.047348061112617953,0.07601662972853651,0.12204360346543273,Região 4
Cf,94495765,8,0.05246661457571234,0.08587407933049762,0.14055333206641293,Região 4
Cf,94495765,9,0.05138190746286903,0.10084458250837827,0.19792238792688188,Região 4
Cf,94495765,10,0.0541546763253108,0.10684411607354251,0.21079740318198845,Região 4
Cf,94495765,11,0.06805309907393464,0.1326110424012579,0.2584112818674528,Região 4
Cf,94495765,12,0.06617959022296903,0.1325990906090851,0.26567887125197054,Região 4
Cf,94495765,13,0.06850018686465223,0.1335200582196044,0.26025631115710174,Região 4
Cf,94495765,14,0.07829382907678159,0.14953930556105732,0.2856164294347283,Região 4
Cf,94495765,15,0.0921123132883921,0.18336385436455083,0.3650142080587748,Região 4
