UF,isoweek,SRAG2013
33,38,0.0733085025
33,39,0.0610904188
33,40,0.0794175444
33,41,0.0671994606
33,42,0.0671994606
33,43,0.0549813769
33,44,0.0366542513
33,45,0.0427632931
33,46,0.0671994606
33,47,0.0610904188
33,48,0.0427632931
33,49,0.0427632931
33,50,0.0427632931
33,51,0.0183271256
33,52,0.0305452094
35,1,0.0435144376
35,2,0.041224204
35,3,0.0435144376
35,4,0.0618363061
35,5,0.0526753718
35,6,0.0435144376
35,7,0.0435144376
35,8,0.0618363061
35,9,0.0618363061
35,10,0.0595460725
35,11,0.1053507437
35,12,0.1030605101
35,13,0.1946698524
35,14,0.2358940565
35,15,0.4511760109
35,16,0.6481360969
35,17,1.0260246339
35,18,1.1107632755
35,19,1.1267949104
35,20,1.3191745293
35,21,1.6489681616
35,22,1.6466779281
35,23,1.843638014
35,24,1.6810314314
35,25,1.465749477
35,26,1.2848210259
35,27,1.2000823843
35,28,0.9779297292
35,29,0.7947110446
35,30,0.6756188995
35,31,0.7237138043
35,32,0.5725583894
35,33,0.533624419
35,34,0.496980682
35,35,0.4397248431
35,36,0.3183424645
35,37,0.2862791947
35,38,0.2565061585
35,39,0.2358940565
35,40,0.2152819544
35,41,0.2107014873
35,42,0.1923796189
35,43,0.1671870497
35,44,0.1694772833
35,45,0.1374140135
35,46,0.1145116779
35,47,0.1305433128
35,48,0.0893191088
35,49,0.1213823786
35,50,0.0961898094
35,51,0.0847386416
35,52,0.0709972403
41,1,0.11820906
41,2,0.1273020646
41,3,0.0636510323
41,4,0.0454650231
41,5,0.0545580277
41,6,0.0818370415
41,7,0.0818370415
41,8,0.1454880738
41,9,0.1727670877
41,10,0.2182321108
41,11,0.1545810785
41,12,0.2818831431
41,13,0.1818600923
41,14,0.3728131892
41,15,0.5092082584
41,16,0.6728823415
41,17,0.8092774107
41,18,0.8001844061
41,19,0.8365564246
41,20,1.1911836046
41,21,1.3184856692
41,22,1.582182803
41,23,1.8822519553
41,24,1.936809983
41,25,2.0459260384
41,26,2.3278091815
41,27,2.8642964538
41,28,2.3914602138
41,29,2.0822980569
41,30,1.6912988584
41,31,1.4730667477
41,32,1.5276247753
41,33,1.1002535584
41,34,1.2821136507
41,35,1.0184165169
41,36,0.9547654846
41,37,0.8092774107
41,38,0.5001152538
41,39,0.4364642215
41,40,0.4819292446
41,41,0.4637432354
41,42,0.4637432354
41,43,0.3182551615
41,44,0.1818600923
41,45,0.2182321108
41,46,0.2182321108
41,47,0.23641812
41,48,0.1727670877
41,49,0.1545810785
41,50,0.11820906
41,51,0.0636510323
41,52,0.0727440369
42,1,0.0301465696
42,2,0.0452198544
42,3,0.075366424
42,4,0.0904397088
42,5,0.0904397088
42,6,0.1055129936
42,7,0.0904397088
42,8,0.075366424
42,9,0.0904397088
42,10,0.0904397088
42,11,0.1356595632
42,12,0.1959527024
42,13,0.150732848
42,14,0.3165389809
42,15,0.5275649681
42,16,0.5275649681
42,17,0.844103949
42,18,1.2058627843
42,19,1.2963024931
42,20,1.4470353411
42,21,1.5224017651
42,22,1.3867422019
42,23,1.5977681892
42,24,1.3867422019
42,25,1.1757162147
42,26,1.3113757779
42,27,1.4922551955
42,28,1.4621086259
42,29,1.8992338852
42,30,2.0198201637
42,31,1.7334277524
42,32,1.6580613284
42,33,1.4168887715
42,34,1.4470353411
42,35,1.1907894995
42,36,0.8742505186
42,37,0.844103949
42,38,0.6330779617
42,39,0.5878581073
42,40,0.4521985441
42,41,0.4672718289
42,42,0.3768321201
42,43,0.2110259872
42,44,0.2260992721
42,45,0.2110259872
42,46,0.2411725569
42,47,0.1808794176
42,48,0.1205862784
42,49,0.1808794176
42,50,0.0904397088
42,51,0.0904397088
42,52,0.0452198544
43,1,0.0627012992
43,2,0.0537439707
43,3,0.0537439707
43,4,0.0268719854
43,5,0.0358293138
43,6,0.0268719854
43,7,0.0716586276
43,8,0.0447866423
43,9,0.0089573285
43,10,0.098530613
43,11,0.1254025983
43,12,0.1343599268
43,13,0.1164452699
43,14,0.2597625251
43,15,0.4120371088
43,16,0.6001410063
43,17,0.6090983347
43,18,0.7165862761
43,19,0.7255436046
43,20,0.7882449038
43,21,1.012178115
43,22,0.9763488012
43,23,1.209239341
43,24,1.2181966694
43,25,1.3167272824
43,26,1.5137885083
43,27,1.6212764498
43,28,1.2181966694
43,29,1.2629833117
43,30,0.9942634581
