UF,População,Média geométrica do pico de infecção das temporadas regulares,região de baixa atividade típica,limiar pré-epidêmico,intensidade alta,intensidade muito alta,SE típica do início do surto,"SE típica do início do surto - IC inferior (2,5%)","SE típica do início do surto - IC superior (97,5%)",duração típica do surto,"duração típica do surto - IC inferior (2,5%)","duração típica do surto - IC superior (97,5%)",ano,Unidade da Federação,Tipo,dado,escala
11,1805788,0.08238801817572416,1,0.02768874308612085,0.1177954009058768,0.1485769022311436,,,,,,,2017,Rondônia,Estado,sragflu,incidência
12,829619,0.21154115023133385,1,0.06026862933467049,0.2968836194453679,0.3967387468839105,,,,,,,2017,Acre,Estado,sragflu,incidência
13,4063614,0.04231734499726656,1,0.012304318274324284,0.054386903244206815,0.06917338876205381,,,,,,,2017,Amazonas,Estado,sragflu,incidência
14,522636,0.2922086269925329,1,0.09566887853113833,0.3939782355524648,0.5434983225872356,,,,,,,2017,Roraima,Estado,sragflu,incidência
15,8366628,0.06941054871312508,0,0.016372309646776544,0.14722876699088472,0.19932449720845224,10.0,8.0,14.0,8.0,6.0,11.0,2017,Pará,Estado,sragflu,incidência
16,797722,0.214459339980842,1,0.06267847696315257,0.3210073152916197,0.41783291984715,,,,,,,2017,Amapá,Estado,sragflu,incidência
17,1550194,0.06857688397494263,1,0.03225402756042147,0.07045609129935627,0.12901611024168588,,,,,,,2017,Tocantins,Estado,sragflu,incidência
21,7000229,0.019270987421999803,1,0.007142623477031966,0.02704061591350793,0.03449685939504943,,,,,,,2017,Maranhão,Estado,sragflu,incidência
22,3218485,0.07326375826564574,1,0.015535259601955578,0.08893611771564203,0.11642849301587123,,,,,,,2017,Piauí,Estado,sragflu,incidência
23,9021232,0.03803772879884165,1,0.005542480228864528,0.06101156755906523,0.07897253937559777,,,,,,,2017,Ceará,Estado,sragflu,incidência
24,3507003,0.06489648223651903,1,0.014257187689887919,0.09812700917522976,0.1265561978340073,,,,,,,2017,Rio Grande do Norte,Estado,sragflu,incidência
25,4025558,0.025660570272576157,1,0.012420638331381635,0.026112158401402248,0.04968255332552655,,,,,,,2017,Paraíba,Estado,sragflu,incidência
26,9473707,0.023088683587504787,0,0.0136715063719465,0.03618286898416856,0.046098001566778235,28.0,8.0,46.0,6.0,3.0,8.0,2017,Pernambuco,Estado,sragflu,incidência
27,3375382,0.03781176551818997,1,0.014813138187025943,0.07369340065417074,0.09157101117730826,,,,,,,2017,Alagoas,Estado,sragflu,incidência
28,2288116,0.0570448295263855,1,0.021852038970052216,0.08674789185677323,0.1132001787758985,,,,,,,2017,Sergipe,Estado,sragflu,incidência
29,15344447,0.01950936127975153,0,0.008933141582242536,0.02360743053997449,0.0301826653510926,22.0,7.0,48.0,8.0,1.0,11.0,2017,Bahia,Estado,sragflu,incidência
31,21119536,0.02460455465899412,0,0.012984036423004008,0.034351954564001634,0.04884931966267435,16.0,14.0,36.0,10.0,8.0,11.0,2017,Minas Gerais,Estado,sragflu,incidência
